id_reservation,price,nbr_reservations,nbr_visitors,marketing_spend,market_count,reservation_status,event_title,event_type,event_date,category_name,city,country,rating,comment,trend_score,growth_rate_pct,capacity_min,capacity_max,venue_type,entertainer_name,entertainer_category,nationality,followers_instagram,followers_tiktok,entertainer_price
6079,5635.0,298,962,25000.0,20,confirmed,Open money.,Birthday,2023-08-27,Wedding,Tunis,Tunisie,5,Consider structure each almost.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
12203,13141.0,298,962,19000.0,4,cancelled,Cost about find.,Birthday,2023-04-14,Corporate,Tunis,Tunisie,4,Audience decide capital.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
7006,122120.0,239,4101,26000.0,0,confirmed,Drop a positive.,Corporate Event,2025-07-05,Birthday,Tunis,Tunisie,2,Yet follow model yourself development.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
13148,9253.0,298,962,21000.0,20,cancelled,Beat animal.,Wedding,2022-04-05,Wedding,Tunis,Tunisie,4,Guess size degree risk finish decade sea into.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
12139,12022.0,249,22215,24000.0,0,cancelled,Safe point next.,Birthday,2023-03-18,Birthday,Tunis,Tunisie,1,Moment tree man have serve doctor.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
5165,2010.0,252,1608,20000.0,0,cancelled,Attack wind job.,Birthday,2023-02-28,Birthday,Tunis,Tunisie,2,War spring add.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
5256,5144.0,239,4101,19000.0,20,pending,Positive.,Birthday,2025-04-11,Wedding,Tunis,Tunisie,4,Often begin stop west candidate professor.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
12804,3157.0,298,962,20000.0,0,pending,White school.,Birthday,2025-07-09,Birthday,Tunis,Tunisie,1,Win particular participant situation.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
16076,12242.0,202,1983,21000.0,4,cancelled,Rest real.,Wedding,2025-08-11,Corporate,Tunis,Tunisie,4,Tax well their up marriage claim.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
17981,2079.0,203,1258,12000.0,0,cancelled,Actually couple structure.,Birthday,2025-05-29,Birthday,Tunis,Tunisie,2,NaN,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
11199,7908.0,202,1983,20000.0,4,confirmed,Start.,Wedding,2022-01-03,Corporate,Tunis,Tunisie,1,To idea he wall rate treat cause night.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
10000,1664.0,249,22215,17000.0,20,pending,Parent child old.,Wedding,2023-05-28,Wedding,Tunis,Tunisie,3,NaN,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
2027,1015.0,239,4101,22000.0,4,cancelled,Term tonight husband nature.,Corporate Event,2025-12-23,Corporate,Tunis,Tunisie,2,Continue into because PM.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
43,7896.0,42,3577,19000.0,20,pending,Wall agent.,Birthday,2024-03-02,Wedding,Tunis,Tunisie,5,President around worker bit back eight clear.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
4031,6276.0,298,962,21000.0,20,cancelled,Join me important.,Corporate Event,2023-05-06,Wedding,Tunis,Tunisie,2,Interesting fill vote figure material.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
10138,8017.0,203,1258,26000.0,0,cancelled,Meeting democratic bank.,Birthday,2022-08-26,Birthday,Tunis,Tunisie,4,Forget age change population south.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
4927,11458.0,176,3661,22000.0,20,pending,Lot read.,Corporate Event,2024-08-30,Wedding,Tunis,Tunisie,5,Between federal tax election.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
2921,6772.0,239,4101,20000.0,20,pending,Ever base.,Birthday,2023-02-24,Wedding,Tunis,Tunisie,3,Total near act only test.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
12829,4935.0,229,3480,25000.0,20,cancelled,Practice modern.,Corporate Event,2024-12-11,Wedding,Tunis,Tunisie,2,NaN,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
1556,2515.0,229,3480,26000.0,20,pending,Stuff station.,Birthday,2024-06-18,Wedding,Tunis,Tunisie,1,Create thus main report beautiful daughter quickly.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
3501,2243.0,252,1608,23000.0,0,cancelled,Cause project.,Wedding,2022-08-03,Birthday,Tunis,Tunisie,1,NaN,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
16341,700.0,176,3661,15000.0,0,confirmed,Sort send.,Birthday,2024-11-10,Birthday,Tunis,Tunisie,2,Life ten without develop.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
7204,13049.0,42,3577,19000.0,20,pending,Head civil.,Corporate Event,2023-10-28,Wedding,Tunis,Tunisie,5,Down exist again fast large understand different.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
11385,3249.0,42,3577,19000.0,4,pending,Test sport course.,Corporate Event,2023-09-06,Corporate,Tunis,Tunisie,2,Ten decade nearly room treat thus enough individual.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
6334,3828.0,239,4101,22000.0,4,pending,Allow property.,Wedding,2023-08-16,Corporate,Tunis,Tunisie,1,Green success center agency.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
4122,7294.0,126,4896,17000.0,20,cancelled,While officer guy.,Wedding,2023-04-11,Wedding,Tunis,Tunisie,5,Mind third way mind yeah in ago.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
15374,9311.0,203,1417,19000.0,20,cancelled,Easy value.,Corporate Event,2022-03-12,Wedding,Tunis,Tunisie,2,Ground party account fear word.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
10985,14441.0,239,4101,17000.0,4,cancelled,Focus cold all.,Corporate Event,2022-11-13,Corporate,Tunis,Tunisie,3,Piece certain player.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
3260,9040.0,176,3661,21000.0,0,confirmed,Ok information short.,Birthday,2025-05-18,Birthday,Tunis,Tunisie,3,Matter international sell capital.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
10003,7880.0,298,962,20000.0,0,pending,Inside professor hit.,Wedding,2023-10-08,Birthday,Tunis,Tunisie,5,Quickly fall college sell state easy purpose.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
15939,5740.0,252,1608,20000.0,4,cancelled,Hit size page.,Wedding,2024-08-20,Corporate,Tunis,Tunisie,4,Space interesting receive standard we resource step.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
14903,9775.0,176,3661,24000.0,20,confirmed,Social culture real.,Corporate Event,2022-05-12,Wedding,Tunis,Tunisie,3,Property blood this.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
11319,333.0,203,1417,12000.0,4,pending,Interview behind.,Corporate Event,2024-11-08,Corporate,Tunis,Tunisie,1,South allow wish nation.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
15168,5772.0,203,1258,17000.0,20,confirmed,Leg computer born.,Wedding,2024-09-24,Wedding,Tunis,Tunisie,1,Buy grow walk generation word necessary put.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
10277,10306.0,176,3661,15000.0,20,pending,Cold deal.,Birthday,2022-11-25,Wedding,Tunis,Tunisie,1,Thing use third executive.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
3743,11789.0,42,3577,20000.0,20,confirmed,But member.,Birthday,2025-07-30,Wedding,Tunis,Tunisie,2,Over yeah painting say nothing government nothing.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
13715,5294.0,203,1258,12000.0,0,cancelled,Voice.,Corporate Event,2023-02-13,Birthday,Tunis,Tunisie,2,Part during who still.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
6706,10738.0,203,1417,19000.0,20,confirmed,By least.,Birthday,2024-04-02,Wedding,Tunis,Tunisie,5,Hour performance economic meet again.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
14883,734.0,203,1417,15000.0,20,cancelled,Here deal your.,Birthday,2025-02-26,Wedding,Tunis,Tunisie,5,However safe bar price study clearly.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
2965,1449.0,126,4896,22000.0,20,pending,Long cup keep.,Birthday,2024-11-03,Wedding,Tunis,Tunisie,5,Major talk ok trade once whole.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
5850,744.0,42,3577,20000.0,20,confirmed,Exist throw born.,Wedding,2023-12-18,Wedding,Tunis,Tunisie,4,Single adult director break.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
2830,13103.0,203,1258,15000.0,4,pending,Gas above market.,Corporate Event,2024-01-18,Corporate,Tunis,Tunisie,5,Small agency light source Congress.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
12630,8508.0,252,1608,26000.0,20,pending,Eye material surface.,Wedding,2024-11-30,Wedding,Tunis,Tunisie,5,Herself difficult edge fire sport less.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
1374,3292.0,249,22215,21000.0,20,confirmed,Whatever treat.,Wedding,2023-09-05,Wedding,Tunis,Tunisie,2,History themselves sure arm nature from usually Congress.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7968,12428.0,42,3577,19000.0,20,pending,Home stuff then.,Wedding,2022-11-09,Wedding,Tunis,Tunisie,1,Next sister also expect blue even decision.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
9552,3449.0,202,1983,15000.0,20,pending,Door little.,Wedding,2023-08-05,Wedding,Tunis,Tunisie,3,Participant painting other nothing case some security.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
6847,5989.0,298,962,25000.0,20,pending,Magazine.,Wedding,2025-11-15,Wedding,Tunis,Tunisie,1,Just meet sure property series nothing.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
16870,3580.0,249,22215,25000.0,20,confirmed,Increase class day.,Wedding,2023-10-06,Wedding,Tunis,Tunisie,1,Arrive view involve ball up ten chance.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
14220,12292.0,176,3661,17000.0,0,pending,Value rise.,Corporate Event,2023-09-08,Birthday,Tunis,Tunisie,1,Alone big help because grow Republican.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
4069,3449.0,249,22215,25000.0,20,confirmed,Trial she understand.,Corporate Event,2022-02-06,Wedding,Tunis,Tunisie,3,Degree pick television assume car.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
9332,2282.0,176,3661,20000.0,20,cancelled,Arm else south.,Wedding,2022-07-05,Wedding,Tunis,Tunisie,3,Power everybody own impact.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
8263,9619.0,155,66,24000.0,20,confirmed,Animal finally.,Birthday,2022-05-12,Wedding,Tunis,Tunisie,2,Production me expect four plant.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
3932,14145.0,176,3661,17000.0,20,cancelled,Anyone able live.,Wedding,2023-04-27,Wedding,Tunis,Tunisie,1,Respond much ok.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
10045,3428.0,239,4101,25000.0,0,cancelled,Onto avoid.,Birthday,2025-11-30,Birthday,Tunis,Tunisie,2,Lose age little.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
17632,2208.0,249,22215,22000.0,0,pending,Heart central.,Birthday,2023-07-20,Birthday,Tunis,Tunisie,1,Spend rise couple physical pass concern.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
11063,2889.0,229,3480,13000.0,20,pending,Door little.,Wedding,2023-08-05,Wedding,Tunis,Tunisie,2,Audience tree money.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
1946,3600.0,42,3577,17000.0,20,pending,Do heart.,Wedding,2025-11-02,Wedding,Tunis,Tunisie,1,Travel important tough.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
15460,8742.0,252,1608,25000.0,20,confirmed,Specific.,Birthday,2024-11-01,Wedding,Tunis,Tunisie,2,NaN,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
14017,12886.0,229,3480,12000.0,0,cancelled,Lose last.,Birthday,2025-07-16,Birthday,Tunis,Tunisie,1,Arm rise along him term question finish.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
17734,8945.0,155,66,21000.0,4,pending,Heart success.,Corporate Event,2023-02-25,Corporate,Tunis,Tunisie,5,Exactly green organization such seem.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
4295,7986.0,202,1983,26000.0,20,cancelled,Again on out.,Corporate Event,2022-02-01,Wedding,Tunis,Tunisie,2,Source until that positive if idea.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7751,5422.0,239,4101,15000.0,20,cancelled,As population fast.,Wedding,2025-08-26,Wedding,Tunis,Tunisie,2,Could thought image debate.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
10417,13889.0,239,4101,25000.0,4,cancelled,However similar bill.,Wedding,2022-04-15,Corporate,Tunis,Tunisie,1,Use finally town executive attorney.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
207,12213.0,203,1258,15000.0,20,pending,First per benefit.,Birthday,2023-08-11,Wedding,Tunis,Tunisie,2,Think social back must where may.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7828,4215.0,126,4896,19000.0,20,cancelled,Wind strong.,Wedding,2024-07-15,Wedding,Tunis,Tunisie,5,Baby agreement avoid series market.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
12201,9276.0,229,3480,20000.0,4,confirmed,Research whatever.,Wedding,2025-10-16,Corporate,Tunis,Tunisie,5,Child success benefit officer light.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
7796,3965.0,202,1983,19000.0,20,pending,Street performance.,Wedding,2024-04-26,Wedding,Tunis,Tunisie,2,Something determine themselves development need health necessary.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
10284,6442.0,249,22215,25000.0,20,confirmed,Drop small get.,Birthday,2022-07-11,Wedding,Tunis,Tunisie,5,Member challenge operation.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
3855,3631.0,252,1608,23000.0,0,cancelled,Lose.,Wedding,2023-04-07,Birthday,Tunis,Tunisie,1,Alone environmental onto section guess group.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
5481,553.0,42,3577,15000.0,20,cancelled,Particularly your.,Wedding,2025-05-01,Wedding,Tunis,Tunisie,2,Somebody huge his top study so.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7201,10282.0,155,66,22000.0,20,pending,Social yourself.,Birthday,2023-09-01,Wedding,Tunis,Tunisie,4,Loss hospital vote bar.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
3361,8208.0,155,66,17000.0,0,cancelled,Upon really usually.,Wedding,2024-01-25,Birthday,Tunis,Tunisie,3,Toward community care drug.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
11919,93440.0,202,1983,13000.0,4,cancelled,National of.,Birthday,2023-08-17,Corporate,Tunis,Tunisie,1,President anything question together fear still wish.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
15800,1222.0,176,3661,20000.0,20,confirmed,Ability low.,Birthday,2024-04-15,Wedding,Tunis,Tunisie,3,Say ever must drug theory follow.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
2747,12135.0,229,3480,26000.0,4,pending,Drive theory.,Corporate Event,2023-06-18,Corporate,Tunis,Tunisie,3,Me summer group else apply.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
9794,6163.0,252,1608,20000.0,4,pending,Imagine sometimes.,Corporate Event,2024-05-05,Corporate,Tunis,Tunisie,4,Wall read fall gun.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
